shift_date,day_of_week,month,performance_phase,strategy_stage,shift_type,start_time,end_time,hours_worked,active_minutes,idle_minutes,gross_earnings,estimated_miles,orders_completed,offers_received,offers_declined,acceptance_rate_pct,stacked_orders,strategic_exceptions,lowest_offer_accepted,highest_offer_declined,zone,bonus_active,peak_pay_per_order,merchant_category,primary_merchant,avg_merchant_wait_minutes,total_wait_minutes,avg_delivery_minutes,weather,traffic_level,dominant_dropoff_type,energy_start_rating,fatigue_end_rating,stress_rating,earnings_per_hour,avg_dollars_per_order,avg_dollars_per_mile,miles_per_order,orders_per_hour,notes
2025-11-26,Wednesday,2025-11,1,Baseline / accept most offers,Dinner,18:00,00:15,6.25,334,41,53.19,73.8,11,16,5,66.8,1,1,4.62,7.49,Henderson,No,0.0,Fast Casual,Panda Express,9.4,103,30.4,Clear,Low,Apartment,5.6,7.0,6.8,8.51,4.84,0.72,6.71,1.76,Waited too long at a slow merchant.
2025-11-27,Thursday,2025-11,1,Baseline / accept most offers,Dinner,16:00,23:15,7.25,384,51,81.41,97.9,16,21,5,77.3,1,2,4.31,7.21,Green Valley,No,0.0,Fast Casual,Chipotle,8.9,142,24.0,Clear,Moderate,House,8.6,7.8,7.3,11.23,5.09,0.83,6.12,2.21,Accepted most offers; several long-distance orders.
2025-11-28,Friday,2025-11,1,Baseline / accept most offers,Dinner,16:30,00:00,7.5,401,49,72.99,74.9,12,17,5,69.7,2,1,4.91,4.91,Green Valley,No,0.0,Restaurant,Olive Garden,14.2,171,33.5,Cloudy,Low,House,6.8,7.3,6.8,9.73,6.08,0.97,6.24,1.6,Waited too long at a slow merchant.
2025-11-30,Sunday,2025-11,1,Baseline / accept most offers,Dinner,18:00,01:00,7.0,384,36,65.9,109.1,11,14,3,81.0,2,0,5.0,8.36,Southwest,No,0.0,Restaurant,Olive Garden,15.9,175,34.9,Clear,Moderate,Business,6.5,7.7,6.1,9.41,5.99,0.6,9.92,1.57,Accepted most offers; several long-distance orders.
2025-12-02,Tuesday,2025-12,1,Baseline / accept most offers,Dinner,17:00,22:30,5.5,285,45,62.89,71.4,7,11,4,63.4,1,1,5.8,9.14,Summerlin,Yes,2.5,Restaurant,Yard House,9.7,68,40.8,Clear,Heavy,House,6.1,7.9,7.6,11.43,8.98,0.88,10.2,1.27,Continued after demand weakened.
2025-12-07,Sunday,2025-12,1,Baseline / accept most offers,Open Schedule,15:00,22:00,7.0,375,45,55.54,60.9,10,13,3,77.9,2,1,4.47,8.1,North Las Vegas,No,0.0,Fast Casual,Panda Express,11.5,115,37.5,Hot,Moderate,Apartment,9.2,7.5,6.2,7.93,5.55,0.91,6.09,1.43,Accepted most offers; several long-distance orders.
2025-12-12,Friday,2025-12,1,Baseline / accept most offers,Weekend Dinner,16:30,22:00,5.5,289,41,45.38,56.0,7,9,2,81.4,1,1,4.22,8.08,North Las Vegas,No,0.0,Fast Casual,Panda Express,6.1,42,41.3,Clear,Moderate,House,6.6,7.1,6.4,8.25,6.48,0.81,8.0,1.27,Chased peak pay outside the best zone.
2025-12-13,Saturday,2025-12,1,Baseline / accept most offers,Dinner,18:00,00:30,6.5,349,41,71.51,70.6,10,12,2,82.4,2,1,4.51,8.33,Green Valley,No,0.0,Restaurant,Outback Steakhouse,14.0,140,34.9,Cloudy,Low,House,8.0,6.7,6.8,11.0,7.15,1.01,7.06,1.54,Waited too long at a slow merchant.
2025-12-14,Sunday,2025-12,1,Baseline / accept most offers,Open Schedule,14:30,21:15,6.75,362,43,57.94,100.5,11,14,3,77.1,3,1,4.84,6.82,North Las Vegas,No,0.0,Fast Casual,Cafe Rio,8.2,91,32.9,Clear,Moderate,House,7.6,8.2,6.3,8.58,5.27,0.58,9.14,1.63,Chased peak pay outside the best zone.
2025-12-18,Thursday,2025-12,1,Baseline / accept most offers,Open Schedule,14:30,20:30,6.0,311,49,60.04,83.1,12,16,4,72.9,1,1,5.01,6.76,Green Valley,No,0.0,Dessert/Coffee,Starbucks,13.5,151,25.9,Hot,Moderate,Apartment,8.8,6.5,6.0,10.01,5.0,0.72,6.92,2.0,Waited too long at a slow merchant.
2025-12-19,Friday,2025-12,1,Baseline / accept most offers,Open Schedule,15:00,20:45,5.75,297,48,46.84,65.5,9,12,3,73.5,2,0,5.13,6.58,Henderson,No,0.0,Quick Service,McDonald's,11.9,107,33.0,Clear,Moderate,Business,7.9,7.6,8.8,8.15,5.2,0.72,7.28,1.57,Chased peak pay outside the best zone.
2025-12-20,Saturday,2025-12,1,Baseline / accept most offers,Peak Pay,16:30,22:15,5.75,302,43,51.3,75.6,12,19,7,62.5,1,0,5.37,5.7,North Las Vegas,Yes,1.5,Fast Casual,Chipotle,13.4,145,25.1,Clear,Moderate,House,7.4,7.7,7.8,8.92,4.27,0.68,6.3,2.09,Continued after demand weakened.
2025-12-23,Tuesday,2025-12,1,Baseline / accept most offers,Open Schedule,16:00,23:00,7.0,366,54,55.58,89.0,7,9,2,76.0,1,1,4.35,7.57,Summerlin,No,0.0,Grocery,Smith's,18.7,131,52.3,Hot,Low,House,8.2,6.2,6.4,7.94,7.94,0.62,12.71,1.0,Accepted most offers; several long-distance orders.
2025-12-24,Wednesday,2025-12,1,Baseline / accept most offers,Peak Pay,17:00,23:15,6.25,337,38,61.76,100.1,10,16,6,62.2,3,1,4.83,8.47,Henderson,Yes,1.0,Quick Service,McDonald's,9.7,97,33.7,Clear,Low,House,7.0,7.5,6.7,9.88,6.18,0.62,10.01,1.6,Continued after demand weakened.
2025-12-25,Thursday,2025-12,1,Baseline / accept most offers,Dinner,18:00,00:15,6.25,323,52,49.83,55.4,8,11,3,70.2,1,0,4.28,8.09,Henderson,No,0.0,Restaurant,Outback Steakhouse,16.6,133,40.3,Cloudy,Moderate,Apartment,7.7,6.4,6.0,7.97,6.23,0.9,6.92,1.28,Continued after demand weakened.
2025-12-27,Saturday,2025-12,1,Baseline / accept most offers,Peak Pay,17:00,23:00,6.0,311,49,63.84,100.9,11,16,5,69.6,2,1,5.03,7.78,Henderson,Yes,1.0,Fast Casual,Panda Express,11.4,125,28.3,Clear,Moderate,Apartment,9.8,5.9,7.8,10.64,5.8,0.63,9.17,1.83,Accepted most offers; several long-distance orders.
2025-12-28,Sunday,2025-12,1,Baseline / accept most offers,Open Schedule,16:00,21:30,5.5,285,45,53.16,66.6,9,13,4,69.0,2,1,4.23,7.3,Henderson,No,0.0,Dessert/Coffee,Nothing Bundt Cakes,12.9,116,31.6,Clear,Moderate,Apartment,9.1,7.0,7.5,9.67,5.91,0.8,7.4,1.64,Accepted most offers; several long-distance orders.
2025-12-31,Wednesday,2025-12,1,Baseline / accept most offers,Open Schedule,16:00,21:45,5.75,313,32,53.42,69.2,9,12,3,73.6,1,1,4,8.99,Green Valley,Yes,2.0,Dessert/Coffee,Nothing Bundt Cakes,13.3,120,34.7,Clear,Moderate,House,6.2,8.5,7.9,9.29,5.94,0.77,7.69,1.57,Waited too long at a slow merchant.
2026-01-01,Thursday,2026-01,1,Baseline / accept most offers,Dinner,16:00,23:45,7.75,423,42,69.06,67.1,12,19,7,62.9,2,0,4.81,6.16,North Las Vegas,No,0.0,Dessert/Coffee,Nothing Bundt Cakes,12.2,147,35.3,Clear,Moderate,Business,8.2,7.4,7.3,8.91,5.75,1.03,5.59,1.55,Accepted most offers; several long-distance orders.
2026-01-02,Friday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,17:30,23:30,6.0,331,29,113.24,88.2,12,25,13,48.3,1,1,6.01,9.48,Henderson,Yes,2.5,Quick Service,Taco Bell,9.8,117,27.6,Clear,Moderate,House,7.9,5.7,7.4,18.87,9.44,1.28,7.35,2.0,Tested a $1.50 per mile minimum.
2026-01-03,Saturday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,18:00,23:45,5.75,318,27,69.41,53.3,9,17,8,54.3,1,1,5.74,8.65,North Las Vegas,No,0.0,Fast Casual,Chipotle,8.4,76,35.4,Clear,Heavy,House,8.2,6.4,5.2,12.07,7.71,1.3,5.92,1.57,Started using a preferred merchant list.
2026-01-04,Sunday,2026-01,2,Testing payout and mileage rules,Dinner,16:00,21:15,5.25,291,24,74.41,61.3,10,16,6,62.3,2,0,5.56,7.67,Henderson,Yes,1.0,Quick Service,McDonald's,10.6,106,29.1,Cloudy,Low,House,7.2,6.7,4.6,14.17,7.44,1.21,6.13,1.9,Tested declining offers below $7.
2026-01-09,Friday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,17:30,22:15,4.75,259,26,43.66,29.5,5,8,3,64.5,1,0,5.15,9.12,Green Valley,Yes,1.0,Grocery,Smith's,11.4,57,51.7,Clear,Moderate,House,7.6,7.0,5.5,9.19,8.73,1.48,5.9,1.05,Compared estimated completion time.
2026-01-10,Saturday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,17:00,21:45,4.75,239,46,59.44,55.7,7,12,5,58.7,1,0,5.04,10.27,Southwest,No,0.0,Grocery,Albertsons,13.5,95,34.1,Hot,Moderate,Apartment,6.4,7.0,5.3,12.51,8.49,1.07,7.96,1.47,Started using a preferred merchant list.
2026-01-11,Sunday,2026-01,2,Testing payout and mileage rules,Dinner,17:30,22:45,5.25,294,21,61.97,55.3,9,21,12,43.8,2,1,5.52,8.25,North Las Vegas,No,0.0,Fast Casual,Teriyaki Madness,8.0,72,32.6,Clear,Heavy,House,8.4,6.9,6.7,11.8,6.89,1.12,6.14,1.71,Started using a preferred merchant list.
2026-01-14,Wednesday,2026-01,2,Testing payout and mileage rules,Lunch,10:45,16:15,5.5,299,31,50.79,44.9,7,14,7,48.6,2,0,5.59,8.06,North Las Vegas,No,0.0,Restaurant,Yard House,9.6,67,42.8,Clear,Heavy,House,8.5,7.5,4.4,9.23,7.26,1.13,6.41,1.27,Started using a preferred merchant list.
2026-01-17,Saturday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,16:30,20:30,4.0,212,28,46.34,34.8,5,9,4,56.7,0,0,6.59,9.15,Green Valley,Yes,2.5,Restaurant,Outback Steakhouse,11.0,55,42.3,Clear,Heavy,Apartment,7.3,7.9,6.1,11.59,9.27,1.33,6.96,1.25,Tested a $1.50 per mile minimum.
2026-01-18,Sunday,2026-01,2,Testing payout and mileage rules,Dinner,17:00,23:00,6.0,320,40,84.88,69.7,9,20,11,46.0,2,0,5.92,7.11,Henderson,No,0.0,Grocery,Albertsons,16.1,145,35.6,Cloudy,Moderate,Apartment,7.2,4.8,4.5,14.15,9.43,1.22,7.74,1.5,Compared estimated completion time.
2026-01-24,Saturday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,18:00,23:15,5.25,282,33,66.15,54.3,9,18,9,49.1,2,0,5.76,9.41,Green Valley,No,0.0,Quick Service,Chick-fil-A,7.1,64,31.3,Light Rain,Moderate,Apartment,6.5,5.8,4.4,12.6,7.35,1.22,6.03,1.71,Tested a $1.50 per mile minimum.
2026-01-25,Sunday,2026-01,2,Testing payout and mileage rules,Dinner,16:30,21:00,4.5,230,40,50.39,36.5,8,16,8,50.2,1,1,6.58,7.9,Southwest,No,0.0,Dessert/Coffee,Nothing Bundt Cakes,5.9,47,28.7,Clear,Moderate,House,6.4,5.7,5.2,11.2,6.3,1.38,4.56,1.78,Tested declining offers below $7.
2026-01-30,Friday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,17:30,23:15,5.75,318,27,104.08,76.7,12,22,10,55.4,3,1,6.14,8.85,Henderson,Yes,1.0,Quick Service,Wendy's,13.6,145,26.5,Hot,Low,Apartment,5.2,5.5,5.2,18.1,8.67,1.36,6.39,2.09,Compared estimated completion time.
2026-01-31,Saturday,2026-01,2,Testing payout and mileage rules,Weekend Dinner,16:30,21:45,5.25,291,24,73.64,65.3,8,12,4,68.3,1,1,6.45,6.87,Summerlin,Yes,3.0,Quick Service,McDonald's,8.1,65,36.3,Hot,Heavy,Business,7.9,6.2,5.1,14.03,9.21,1.13,8.16,1.52,Tested a $1.50 per mile minimum.
2026-02-01,Sunday,2026-02,2,Testing payout and mileage rules,Peak Pay,17:00,23:00,6.0,317,43,95.39,76.4,9,21,12,42.7,2,1,5.88,9.54,Green Valley,Yes,3.0,Grocery,Smith's,14.3,128,35.3,Hot,Low,Apartment,6.1,6.9,5.2,15.9,10.6,1.25,8.49,1.5,Started using a preferred merchant list.
2026-02-05,Thursday,2026-02,2,Testing payout and mileage rules,Dinner,18:00,00:00,6.0,331,29,93.93,77.3,11,23,12,48.6,2,1,5.75,7.1,Green Valley,Yes,1.0,Quick Service,Chick-fil-A,7.0,76,30.1,Hot,Low,Apartment,6.5,5.3,4.8,15.66,8.54,1.22,7.03,1.83,Compared estimated completion time.
2026-02-06,Friday,2026-02,2,Testing payout and mileage rules,Weekend Dinner,17:30,23:15,5.75,307,38,99.58,84.5,13,24,11,55.0,3,0,4.99,10.5,Green Valley,No,0.0,Fast Casual,Cafe Rio,9.6,125,23.6,Hot,Heavy,House,6.4,7.0,5.0,17.32,7.66,1.18,6.5,2.26,Tested a $1.50 per mile minimum.
2026-02-13,Friday,2026-02,2,Testing payout and mileage rules,Weekend Dinner,17:30,23:30,6.0,335,25,83.12,54.3,11,17,6,63.3,1,1,5.64,8.03,Southwest,Yes,1.5,Fast Casual,Cafe Rio,10.6,117,30.4,Hot,Moderate,House,5.6,5.3,4.1,13.85,7.56,1.53,4.94,1.83,Tested a $1.50 per mile minimum.
2026-02-14,Saturday,2026-02,2,Testing payout and mileage rules,Weekend Dinner,17:00,20:15,3.25,166,29,52.36,46.9,6,13,7,46.2,1,0,6.12,7.0,Green Valley,Yes,3.0,Dessert/Coffee,Starbucks,8.5,51,27.7,Clear,Low,Apartment,7.2,6.3,6.0,16.11,8.73,1.12,7.82,1.85,Tested declining offers below $7.
2026-02-15,Sunday,2026-02,2,Testing payout and mileage rules,Dinner,18:00,23:15,5.25,286,29,93.2,61.7,10,23,13,42.8,2,1,5.51,9.75,Henderson,Yes,2.5,Quick Service,McDonald's,9.1,91,28.6,Light Rain,Moderate,House,8.0,6.8,4.6,17.75,9.32,1.51,6.17,1.9,Tested a $1.50 per mile minimum.
2026-02-16,Monday,2026-02,2,Testing payout and mileage rules,Lunch,11:15,16:30,5.25,273,42,103.02,70.1,12,24,12,50.1,3,1,4.83,7.1,Henderson,No,0.0,Fast Casual,Chipotle,4.5,54,22.8,Hot,Moderate,Hotel,7.4,5.9,5.6,19.62,8.58,1.47,5.84,2.29,Tested a $1.50 per mile minimum.
2026-02-19,Thursday,2026-02,2,Testing payout and mileage rules,Peak Pay,18:00,23:15,5.25,289,26,81.14,70.6,10,20,10,49.4,2,1,6.07,10.93,Southwest,Yes,3.0,Fast Casual,Panda Express,7.8,78,28.9,Clear,Low,House,6.8,7.0,3.8,15.46,8.11,1.15,7.06,1.9,Compared estimated completion time.
2026-02-20,Friday,2026-02,2,Testing payout and mileage rules,Dinner,16:30,21:15,4.75,250,35,58.56,38.6,9,17,8,54.2,2,1,5.71,8.99,Summerlin,No,0.0,Fast Casual,Cafe Rio,8.1,73,27.8,Clear,Moderate,House,6.5,6.9,5.2,12.33,6.51,1.52,4.29,1.89,Started using a preferred merchant list.
2026-02-22,Sunday,2026-02,2,Testing payout and mileage rules,Weekend Dinner,16:30,21:15,4.75,250,35,67.47,49.3,9,18,9,49.9,2,0,5.26,7.36,Henderson,No,0.0,Quick Service,Wendy's,13.3,120,27.8,Clear,Moderate,House,5.2,7.4,6.8,14.2,7.5,1.37,5.48,1.89,Tested a $1.50 per mile minimum.
2026-02-24,Tuesday,2026-02,2,Testing payout and mileage rules,Dinner,16:00,21:15,5.25,293,22,52.94,49.2,8,20,12,40.1,1,0,5.15,7.71,Green Valley,No,0.0,Restaurant,BJ's Restaurant,7.9,63,36.6,Hot,Moderate,Apartment,7.1,6.0,4.3,10.08,6.62,1.08,6.15,1.52,Compared estimated completion time.
2026-02-27,Friday,2026-02,2,Testing payout and mileage rules,Peak Pay,17:30,23:15,5.75,309,36,76.24,65.1,10,18,8,54.4,1,1,5.77,7.06,North Las Vegas,Yes,2.0,Fast Casual,Teriyaki Madness,9.6,96,30.9,Clear,Low,Apartment,5.9,8.5,4.0,13.26,7.62,1.17,6.51,1.74,Compared estimated completion time.
2026-02-28,Saturday,2026-02,2,Testing payout and mileage rules,Weekend Dinner,16:30,22:15,5.75,311,34,47.35,40.8,7,13,6,53.1,2,0,6.1,7.09,Green Valley,No,0.0,Restaurant,BJ's Restaurant,10.5,74,44.4,Clear,Heavy,Business,6.0,5.7,5.8,8.23,6.76,1.16,5.83,1.22,Tested a $1.50 per mile minimum.
2026-03-01,Sunday,2026-03,2,Testing payout and mileage rules,Weekend Dinner,17:00,22:15,5.25,295,20,75.91,55.8,11,20,9,54.6,2,1,5.52,9.05,Henderson,No,0.0,Dessert/Coffee,Dutch Bros,8.3,91,26.9,Clear,Low,Apartment,5.7,5.0,4.2,14.46,6.9,1.36,5.07,2.1,Tested a $1.50 per mile minimum.
2026-03-08,Sunday,2026-03,2,Testing payout and mileage rules,Dinner,18:00,23:15,5.25,291,24,70.99,46.6,10,18,8,54.1,1,1,5.95,10.61,Henderson,Yes,1.5,Quick Service,McDonald's,13.1,131,29.1,Clear,Moderate,House,8.1,6.8,6.3,13.52,7.1,1.52,4.66,1.9,Tested a $1.50 per mile minimum.
2026-03-09,Monday,2026-03,2,Testing payout and mileage rules,Dinner,17:30,22:45,5.25,281,34,91.39,60.1,11,20,9,55.1,2,1,5.66,8.53,Henderson,Yes,1.0,Restaurant,BJ's Restaurant,9.5,105,25.6,Clear,Moderate,Apartment,8.4,6.3,4.3,17.41,8.31,1.52,5.46,2.1,Tested a $1.50 per mile minimum.
2026-03-12,Thursday,2026-03,3,Consistent selective acceptance,Targeted Sprint,16:30,21:00,4.5,239,31,79.41,39.3,10,28,18,35.4,2,0,6.29,10.57,North Las Vegas,No,0.0,Quick Service,Chick-fil-A,8.6,86,23.9,Cloudy,Low,House,8.5,3.8,5.2,17.65,7.94,2.02,3.93,2.22,Applied $7+ and $2 per mile targets.
2026-03-13,Friday,2026-03,3,Consistent selective acceptance,Weekend Dinner,16:00,19:45,3.75,204,21,56.71,29.3,6,20,14,29.3,1,0,6.76,10.55,Green Valley,No,0.0,Grocery,Albertsons,7.2,43,33.9,Light Rain,Moderate,House,5.4,3.4,4.1,15.12,9.45,1.94,4.88,1.6,Avoided weak stacks and apartment-heavy routes.
2026-03-14,Saturday,2026-03,3,Consistent selective acceptance,Dinner,17:30,22:30,5.0,287,13,72.54,45.9,11,40,29,27.6,2,1,6.2,10.81,Summerlin,No,0.0,Fast Casual,Chipotle,6.0,66,26.1,Hot,Moderate,Apartment,7.0,5.5,3.8,14.51,6.59,1.58,4.17,2.2,Used estimated time to protect hourly earnings.
2026-03-15,Sunday,2026-03,3,Consistent selective acceptance,Weekend Dinner,17:30,21:30,4.0,214,26,79.34,53.2,9,29,20,31.4,2,0,7.03,9.34,North Las Vegas,No,0.0,Fast Casual,Cafe Rio,6.6,59,23.7,Light Rain,Low,Apartment,7.5,6.6,3.6,19.84,8.82,1.49,5.91,2.25,Avoided weak stacks and apartment-heavy routes.
2026-03-18,Wednesday,2026-03,3,Consistent selective acceptance,Dinner,17:00,21:30,4.5,256,14,64.28,43.6,10,24,14,41.3,2,0,7.52,9.89,Henderson,No,0.0,Dessert/Coffee,Dutch Bros,9.3,93,25.6,Clear,Low,Apartment,7.5,6.3,2.9,14.28,6.43,1.47,4.36,2.22,Worked only the strongest dinner window.
2026-03-19,Thursday,2026-03,3,Consistent selective acceptance,Lunch,10:45,15:15,4.5,249,21,67.99,44.6,9,30,21,29.6,2,0,7.02,12.46,Green Valley,No,0.0,Restaurant,Yard House,5.1,46,27.6,Clear,Moderate,House,7.4,3.8,5.1,15.11,7.55,1.52,4.96,2.0,Avoided weak stacks and apartment-heavy routes.
2026-03-20,Friday,2026-03,3,Consistent selective acceptance,Weekend Dinner,16:30,20:45,4.25,245,10,83.76,53.7,10,34,24,29.6,2,0,6.56,10.0,Southwest,Yes,2.0,Fast Casual,Panda Express,7.6,76,24.5,Clear,Moderate,House,9.2,4.7,3.0,19.71,8.38,1.56,5.37,2.35,Avoided weak stacks and apartment-heavy routes.
2026-03-21,Saturday,2026-03,3,Consistent selective acceptance,Peak Pay,17:30,21:30,4.0,208,32,79.2,41.6,9,26,17,35.0,1,0,6.47,7.4,Green Valley,Yes,2.0,Quick Service,Wendy's,9.3,84,23.1,Clear,Moderate,House,7.3,5.5,4.2,19.8,8.8,1.9,4.62,2.25,Avoided weak stacks and apartment-heavy routes.
2026-03-22,Sunday,2026-03,3,Consistent selective acceptance,Peak Pay,17:30,22:00,4.5,256,14,92.59,49.3,10,74,64,13.5,2,0,6.48,9.71,Henderson,Yes,3.0,Restaurant,Olive Garden,5.1,51,25.6,Hot,Low,Apartment,7.9,3.4,3.6,20.58,9.26,1.88,4.93,2.22,Avoided weak stacks and apartment-heavy routes.
2026-03-23,Monday,2026-03,3,Consistent selective acceptance,Targeted Sprint,17:00,21:00,4.0,212,28,51.06,28.5,7,23,16,31.0,1,0,6.45,9.83,North Las Vegas,No,0.0,Fast Casual,Teriyaki Madness,9.0,63,30.3,Windy,Moderate,House,7.7,5.2,3.8,12.77,7.29,1.79,4.07,1.75,Used estimated time to protect hourly earnings.
2026-03-24,Tuesday,2026-03,3,Consistent selective acceptance,Lunch,11:30,15:30,4.0,215,25,63.08,41.0,6,21,15,28.1,1,0,7.84,10.77,Green Valley,Yes,3.0,Grocery,Sprouts,12.9,77,35.9,Clear,Moderate,House,4.7,5.1,5.9,15.77,10.51,1.54,6.83,1.5,Applied $7+ and $2 per mile targets.
2026-03-25,Wednesday,2026-03,3,Consistent selective acceptance,Lunch,11:00,15:30,4.5,248,22,100.89,49.9,12,44,32,27.0,3,1,6.91,11.23,Green Valley,No,0.0,Fast Casual,Teriyaki Madness,7.5,90,20.7,Clear,Low,Apartment,8.6,4.6,4.8,22.42,8.41,2.02,4.16,2.67,Avoided weak stacks and apartment-heavy routes.
2026-03-27,Friday,2026-03,3,Consistent selective acceptance,Weekend Dinner,16:30,20:00,3.5,201,9,79.27,48.3,9,35,26,25.8,2,1,6.92,10.13,Green Valley,No,0.0,Dessert/Coffee,Nothing Bundt Cakes,6.1,55,22.4,Clear,Moderate,Hotel,6.0,6.7,5.8,22.65,8.81,1.64,5.37,2.57,Worked only the strongest dinner window.
2026-03-28,Saturday,2026-03,3,Consistent selective acceptance,Peak Pay,17:30,22:30,5.0,265,35,88.89,45.3,9,24,15,37.1,2,0,5.93,11.03,Henderson,Yes,3.0,Grocery,Albertsons,9.4,85,29.4,Hot,Moderate,Business,7.8,4.3,6.1,17.78,9.88,1.96,5.03,1.8,Avoided weak stacks and apartment-heavy routes.
2026-03-29,Sunday,2026-03,3,Consistent selective acceptance,Dinner,16:00,20:00,4.0,211,29,63.25,30.2,10,35,25,28.2,3,0,6.53,11.43,Henderson,No,0.0,Fast Casual,Teriyaki Madness,8.5,85,21.1,Clear,Moderate,Apartment,8.5,3.7,4.2,15.81,6.33,2.09,3.02,2.5,Used estimated time to protect hourly earnings.
2026-03-30,Monday,2026-03,3,Consistent selective acceptance,Dinner,16:30,20:30,4.0,207,33,52.93,28.3,6,14,8,42.6,1,0,7.27,10.88,Southwest,No,0.0,Grocery,Target Grocery,9.7,58,34.5,Windy,Low,Hotel,7.5,5.1,3.9,13.23,8.82,1.87,4.72,1.5,Applied $7+ and $2 per mile targets.
